dataset,size,demand,nclim,nvar,temp,prec,rel,crel,safeyield
Princeton,80,57,103,2,0,1.5,100,100,106.25
Princeton,80,57,104,2,1,1.5,100,100,106.25
Princeton,80,57,105,2,2,1.5,100,100,106.25
Princeton,80,57,106,2,3,1.5,100,100,106.25
Princeton,80,57,107,2,4,1.5,100,100,104.0625
Princeton,80,57,108,2,5,1.5,100,100,104.0625
Princeton,80,57,109,3,0,0.7,100,100,73.4375
Princeton,80,57,110,3,1,0.7,100,100,72.890625
Princeton,80,57,111,3,2,0.7,100,100,72.34375
Princeton,80,57,112,3,3,0.7,100,100,71.796875
Princeton,80,57,113,3,4,0.7,100,100,71.25
Princeton,80,57,114,3,5,0.7,100,100,71.25
Princeton,80,57,115,3,0,0.8,100,100,80
Princeton,80,57,116,3,1,0.8,100,100,80
Princeton,80,57,117,3,2,0.8,100,100,78.90625
Princeton,80,57,118,3,3,0.8,100,100,77.8125
Princeton,80,57,119,3,4,0.8,100,100,77.8125
Princeton,80,57,120,3,5,0.8,100,100,77.8125
Princeton,80,57,121,3,0,0.9,100,100,85.46875
Princeton,80,57,122,3,1,0.9,100,100,84.375
Princeton,80,57,123,3,2,0.9,100,100,84.375
Princeton,80,57,124,3,3,0.9,100,100,84.375
Princeton,80,57,125,3,4,0.9,100,100,83.828125
Princeton,80,57,126,3,5,0.9,100,100,83.28125
Princeton,80,57,127,3,0,1,100,100,90.9375
Princeton,80,57,128,3,1,1,100,100,88.75
Princeton,80,57,129,3,2,1,100,100,88.75
Princeton,80,57,130,3,3,1,100,100,88.75
Princeton,80,57,131,3,4,1,100,100,88.75
Princeton,80,57,132,3,5,1,100,100,88.75
Princeton,80,57,133,3,0,1.1,100,100,95.3125
Princeton,80,57,134,3,1,1.1,100,100,93.125
Princeton,80,57,135,3,2,1.1,100,100,93.125
Princeton,80,57,136,3,3,1.1,100,100,93.125
Princeton,80,57,137,3,4,1.1,100,100,93.125
Princeton,80,57,138,3,5,1.1,100,100,93.125
Princeton,80,57,139,3,0,1.2,100,100,97.5
Princeton,80,57,140,3,1,1.2,100,100,97.5
Princeton,80,57,141,3,2,1.2,100,100,97.5
Princeton,80,57,142,3,3,1.2,100,100,97.5
Princeton,80,57,143,3,4,1.2,100,100,97.5
Princeton,80,57,144,3,5,1.2,100,100,97.5
Princeton,80,57,145,3,0,1.3,100,100,101.875
Princeton,80,57,146,3,1,1.3,100,100,101.875
Princeton,80,57,147,3,2,1.3,100,100,101.875
Princeton,80,57,148,3,3,1.3,100,100,99.6875
Princeton,80,57,149,3,4,1.3,100,100,99.6875
Princeton,80,57,150,3,5,1.3,100,100,99.6875
Princeton,80,57,151,3,0,1.4,100,100,104.0625
Princeton,80,57,152,3,1,1.4,100,100,101.875
Princeton,80,57,153,3,2,1.4,100,100,101.875
Princeton,80,57,154,3,3,1.4,100,100,101.875
Princeton,80,57,155,3,4,1.4,100,100,101.875
Princeton,80,57,156,3,5,1.4,100,100,101.875
Princeton,80,57,157,3,0,1.5,100,100,106.25
Princeton,80,57,158,3,1,1.5,100,100,106.25
Princeton,80,57,159,3,2,1.5,100,100,106.25
Princeton,80,57,160,3,3,1.5,100,100,106.25
Princeton,80,57,161,3,4,1.5,100,100,106.25
Princeton,80,57,162,3,5,1.5,100,100,106.25
Princeton,80,57,163,4,0,0.7,99.8888888888889,99.9444444444444,75.625
Princeton,80,57,164,4,1,0.7,99.8888888888889,99.9444444444444,75.625
Princeton,80,57,165,4,2,0.7,99.8888888888889,99.9444444444444,74.53125
Princeton,80,57,166,4,3,0.7,99.8888888888889,99.9444444444444,73.4375
Princeton,80,57,167,4,4,0.7,99.8888888888889,99.8888888888889,73.4375
Princeton,80,57,168,4,5,0.7,99.8888888888889,99.8888888888889,73.4375
Princeton,80,57,169,4,0,0.8,99.8888888888889,100,82.1875
Princeton,80,57,170,4,1,0.8,99.8888888888889,100,82.1875
Princeton,80,57,171,4,2,0.8,99.8888888888889,100,82.1875
Princeton,80,57,172,4,3,0.8,99.8888888888889,100,81.09375
Princeton,80,57,173,4,4,0.8,99.8888888888889,99.9444444444444,80
Princeton,80,57,174,4,5,0.8,99.8888888888889,99.9444444444444,80
Princeton,80,57,175,4,0,0.9,99.9444444444444,100,88.75
Princeton,80,57,176,4,1,0.9,99.9444444444444,100,88.75
Princeton,80,57,177,4,2,0.9,99.9444444444444,100,87.65625
Princeton,80,57,178,4,3,0.9,99.9444444444444,100,86.5625
Princeton,80,57,179,4,4,0.9,99.9444444444444,100,86.5625
Princeton,80,57,180,4,5,0.9,99.9444444444444,100,86.5625
Princeton,80,57,181,4,0,1,100,100,93.125
Princeton,80,57,182,4,1,1,100,100,93.125
Princeton,80,57,183,4,2,1,100,100,93.125
Princeton,80,57,184,4,3,1,99.9444444444444,100,93.125
Princeton,80,57,185,4,4,1,99.9444444444444,100,90.9375
Princeton,80,57,186,4,5,1,99.9444444444444,100,90.9375
Princeton,80,57,187,4,0,1.1,100,100,97.5
Princeton,80,57,188,4,1,1.1,100,100,96.40625
Princeton,80,57,189,4,2,1.1,100,100,96.40625
Princeton,80,57,190,4,3,1.1,100,100,95.3125
Princeton,80,57,191,4,4,1.1,100,100,95.3125
Princeton,80,57,192,4,5,1.1,100,100,95.3125
Princeton,80,57,193,4,0,1.2,100,100,101.875
Princeton,80,57,194,4,1,1.2,100,100,101.875
Princeton,80,57,195,4,2,1.2,100,100,99.6875
Princeton,80,57,196,4,3,1.2,100,100,99.6875
Princeton,80,57,197,4,4,1.2,100,100,99.6875
Princeton,80,57,198,4,5,1.2,100,100,99.6875
Princeton,80,57,199,4,0,1.3,100,100,104.0625
Princeton,80,57,200,4,1,1.3,100,100,104.0625
Princeton,80,57,201,4,2,1.3,100,100,104.0625
Princeton,80,57,202,4,3,1.3,100,100,104.0625
Princeton,80,57,203,4,4,1.3,100,100,101.875
Princeton,80,57,204,4,5,1.3,100,100,101.875
Princeton,80,57,205,4,0,1.4,100,100,106.25
Princeton,80,57,206,4,1,1.4,100,100,106.25
Princeton,80,57,207,4,2,1.4,100,100,106.25
Princeton,80,57,208,4,3,1.4,100,100,106.25
Princeton,80,57,209,4,4,1.4,100,100,106.25
Princeton,80,57,210,4,5,1.4,100,100,106.25
Princeton,80,57,211,4,0,1.5,100,100,110.625
Princeton,80,57,212,4,1,1.5,100,100,110.625
Princeton,80,57,213,4,2,1.5,100,100,110.625
Princeton,80,57,214,4,3,1.5,100,100,110.625
Princeton,80,57,215,4,4,1.5,100,100,110.625
Princeton,80,57,216,4,5,1.5,100,100,108.4375
Princeton,80,57,217,5,0,0.7,99.4444444444444,99.8888888888889,69.0625
Princeton,80,57,218,5,1,0.7,99.3888888888889,99.8333333333333,69.0625
Princeton,80,57,219,5,2,0.7,99.2222222222222,99.7777777777778,67.96875
Princeton,80,57,220,5,3,0.7,99.1666666666667,99.7777777777778,67.96875
Princeton,80,57,221,5,4,0.7,99,99.6111111111111,66.875
Princeton,80,57,222,5,5,0.7,98.8333333333333,99.6111111111111,66.875
Princeton,80,57,223,5,0,0.8,100,100,77.8125
Princeton,80,57,224,5,1,0.8,100,100,76.71875
Princeton,80,57,225,5,2,0.8,100,100,75.625
Princeton,80,57,226,5,3,0.8,100,100,75.625
Princeton,80,57,227,5,4,0.8,100,100,75.625
Princeton,80,57,228,5,5,0.8,100,100,75.625
Princeton,80,57,229,5,0,0.9,100,100,84.375
Princeton,80,57,230,5,1,0.9,100,100,82.1875
Princeton,80,57,231,5,2,0.9,100,100,82.1875
Princeton,80,57,232,5,3,0.9,100,100,82.1875
Princeton,80,57,233,5,4,0.9,100,100,80
Princeton,80,57,234,5,5,0.9,100,100,80
Princeton,80,57,235,5,0,1,100,100,88.75
Princeton,80,57,236,5,1,1,100,100,88.75
Princeton,80,57,237,5,2,1,100,100,88.75
Princeton,80,57,238,5,3,1,100,100,86.5625
Princeton,80,57,239,5,4,1,100,100,86.5625
Princeton,80,57,240,5,5,1,100,100,86.5625
Princeton,80,57,241,5,0,1.1,100,100,93.125
Princeton,80,57,242,5,1,1.1,100,100,93.125
Princeton,80,57,243,5,2,1.1,100,100,93.125
Princeton,80,57,244,5,3,1.1,100,100,93.125
Princeton,80,57,245,5,4,1.1,100,100,93.125
Princeton,80,57,246,5,5,1.1,100,100,90.9375
Princeton,80,57,247,5,0,1.2,100,100,97.5
Princeton,80,57,248,5,1,1.2,100,100,97.5
Princeton,80,57,249,5,2,1.2,100,100,97.5
Princeton,80,57,250,5,3,1.2,100,100,97.5
Princeton,80,57,251,5,4,1.2,100,100,97.5
Princeton,80,57,252,5,5,1.2,100,100,96.40625
Princeton,80,57,253,5,0,1.3,100,100,101.875
Princeton,80,57,254,5,1,1.3,100,100,101.875
Princeton,80,57,255,5,2,1.3,100,100,101.875
Princeton,80,57,256,5,3,1.3,100,100,100.78125
Princeton,80,57,257,5,4,1.3,100,100,99.6875
Princeton,80,57,258,5,5,1.3,100,100,99.6875
Princeton,80,57,259,5,0,1.4,100,100,106.25
Princeton,80,57,260,5,1,1.4,100,100,106.25
Princeton,80,57,261,5,2,1.4,100,100,106.25
Princeton,80,57,262,5,3,1.4,100,100,104.0625
Princeton,80,57,263,5,4,1.4,100,100,104.0625
Princeton,80,57,264,5,5,1.4,100,100,104.0625
Princeton,80,57,265,5,0,1.5,100,100,110.625
Princeton,80,57,266,5,1,1.5,100,100,108.4375
Princeton,80,57,267,5,2,1.5,100,100,108.4375
Princeton,80,57,268,5,3,1.5,100,100,108.4375
Princeton,80,57,269,5,4,1.5,100,100,106.25
Princeton,80,57,270,5,5,1.5,100,100,106.25
Princeton,80,57,271,6,0,0.7,99.4444444444444,99.6666666666667,71.25
Princeton,80,57,272,6,1,0.7,99.3333333333333,99.6666666666667,71.25
Princeton,80,57,273,6,2,0.7,99.3333333333333,99.6111111111111,71.25
Princeton,80,57,274,6,3,0.7,99.1111111111111,99.6111111111111,71.25
Princeton,80,57,275,6,4,0.7,99.1111111111111,99.4444444444444,69.0625
Princeton,80,57,276,6,5,0.7,99,99.3888888888889,69.0625
Princeton,80,57,277,6,0,0.8,100,100,77.8125
Princeton,80,57,278,6,1,0.8,100,100,77.8125
Princeton,80,57,279,6,2,0.8,100,100,77.8125
Princeton,80,57,280,6,3,0.8,100,100,76.71875
Princeton,80,57,281,6,4,0.8,100,100,75.625
Princeton,80,57,282,6,5,0.8,100,100,75.625
Princeton,80,57,283,6,0,0.9,100,100,84.375
Princeton,80,57,284,6,1,0.9,100,100,84.375
Princeton,80,57,285,6,2,0.9,100,100,84.375
Princeton,80,57,286,6,3,0.9,100,100,83.28125
Princeton,80,57,287,6,4,0.9,100,100,82.1875
Princeton,80,57,288,6,5,0.9,100,100,82.1875
Princeton,80,57,289,6,0,1,100,100,90.9375
Princeton,80,57,290,6,1,1,100,100,90.9375
Princeton,80,57,291,6,2,1,100,100,90.9375
Princeton,80,57,292,6,3,1,100,100,88.75
Princeton,80,57,293,6,4,1,100,100,88.75
Princeton,80,57,294,6,5,1,100,100,88.75
Princeton,80,57,295,6,0,1.1,100,100,97.5
Princeton,80,57,296,6,1,1.1,100,100,97.5
Princeton,80,57,297,6,2,1.1,100,100,96.40625
Princeton,80,57,298,6,3,1.1,100,100,95.3125
Princeton,80,57,299,6,4,1.1,100,100,95.3125
Princeton,80,57,300,6,5,1.1,100,100,95.3125
Princeton,80,57,301,6,0,1.2,100,100,101.875
Princeton,80,57,302,6,1,1.2,100,100,101.875
Princeton,80,57,303,6,2,1.2,100,100,101.875
Princeton,80,57,304,6,3,1.2,100,100,101.875
Princeton,80,57,305,6,4,1.2,100,100,101.875
Princeton,80,57,306,6,5,1.2,100,100,99.6875
Princeton,80,57,307,6,0,1.3,100,100,108.4375
Princeton,80,57,308,6,1,1.3,100,100,106.25
Princeton,80,57,309,6,2,1.3,100,100,106.25
Princeton,80,57,310,6,3,1.3,100,100,106.25
Princeton,80,57,311,6,4,1.3,100,100,106.25
Princeton,80,57,312,6,5,1.3,100,100,106.25
Princeton,80,57,313,6,0,1.4,100,100,112.8125
Princeton,80,57,314,6,1,1.4,100,100,110.625
Princeton,80,57,315,6,2,1.4,100,100,110.625
Princeton,80,57,316,6,3,1.4,100,100,110.625
Princeton,80,57,317,6,4,1.4,100,100,110.625
Princeton,80,57,318,6,5,1.4,100,100,110.625
Princeton,80,57,319,6,0,1.5,100,100,116.09375
Princeton,80,57,320,6,1,1.5,100,100,115
Princeton,80,57,321,6,2,1.5,100,100,115
Princeton,80,57,322,6,3,1.5,100,100,115
Princeton,80,57,323,6,4,1.5,100,100,115
Princeton,80,57,324,6,5,1.5,100,100,115
Princeton,80,57,325,7,0,0.7,99.3888888888889,99.6666666666667,69.0625
Princeton,80,57,326,7,1,0.7,99.3333333333333,99.5555555555556,69.0625
Princeton,80,57,327,7,2,0.7,99.2777777777778,99.5555555555556,69.0625
Princeton,80,57,328,7,3,0.7,99.2777777777778,99.5,67.96875
Princeton,80,57,329,7,4,0.7,99.2222222222222,99.4444444444444,66.875
Princeton,80,57,330,7,5,0.7,99.1111111111111,99.4444444444444,66.875
Princeton,80,57,331,7,0,0.8,100,100,76.71875
Princeton,80,57,332,7,1,0.8,100,100,75.625
Princeton,80,57,333,7,2,0.8,100,100,75.625
Princeton,80,57,334,7,3,0.8,99.8888888888889,100,75.625
Princeton,80,57,335,7,4,0.8,99.8333333333333,100,74.53125
Princeton,80,57,336,7,5,0.8,99.7777777777778,99.9444444444444,74.53125
Princeton,80,57,337,7,0,0.9,100,100,84.375
Princeton,80,57,338,7,1,0.9,100,100,82.1875
Princeton,80,57,339,7,2,0.9,100,100,82.1875
Princeton,80,57,340,7,3,0.9,100,100,82.1875
Princeton,80,57,341,7,4,0.9,100,100,82.1875
Princeton,80,57,342,7,5,0.9,100,100,80
Princeton,80,57,343,7,0,1,100,100,88.75
Princeton,80,57,344,7,1,1,100,100,88.75
Princeton,80,57,345,7,2,1,100,100,88.75
Princeton,80,57,346,7,3,1,100,100,88.75
Princeton,80,57,347,7,4,1,100,100,88.75
Princeton,80,57,348,7,5,1,100,100,86.5625
Princeton,80,57,349,7,0,1.1,100,100,95.3125
Princeton,80,57,350,7,1,1.1,100,100,95.3125
Princeton,80,57,351,7,2,1.1,100,100,93.125
Princeton,80,57,352,7,3,1.1,100,100,93.125
Princeton,80,57,353,7,4,1.1,100,100,93.125
Princeton,80,57,354,7,5,1.1,100,100,93.125
Princeton,80,57,355,7,0,1.2,100,100,99.6875
Princeton,80,57,356,7,1,1.2,100,100,99.6875
Princeton,80,57,357,7,2,1.2,100,100,99.6875
Princeton,80,57,358,7,3,1.2,100,100,97.5
Princeton,80,57,359,7,4,1.2,100,100,97.5
Princeton,80,57,360,7,5,1.2,100,100,97.5
Princeton,80,57,361,7,0,1.3,100,100,104.0625
Princeton,80,57,362,7,1,1.3,100,100,104.0625
Princeton,80,57,363,7,2,1.3,100,100,104.0625
Princeton,80,57,364,7,3,1.3,100,100,104.0625
Princeton,80,57,365,7,4,1.3,100,100,102.96875
Princeton,80,57,366,7,5,1.3,100,100,101.875
Princeton,80,57,367,7,0,1.4,100,100,109.53125
Princeton,80,57,368,7,1,1.4,100,100,108.4375
Princeton,80,57,369,7,2,1.4,100,100,108.4375
Princeton,80,57,370,7,3,1.4,100,100,108.4375
Princeton,80,57,371,7,4,1.4,100,100,108.4375
Princeton,80,57,372,7,5,1.4,100,100,106.25
Princeton,80,57,373,7,0,1.5,100,100,112.8125
Princeton,80,57,374,7,1,1.5,100,100,112.8125
Princeton,80,57,375,7,2,1.5,100,100,112.8125
Princeton,80,57,376,7,3,1.5,100,100,112.8125
Princeton,80,57,377,7,4,1.5,100,100,112.8125
Princeton,80,57,378,7,5,1.5,100,100,110.625
Princeton,80,57,379,8,0,0.7,100,100,69.0625
Princeton,80,57,380,8,1,0.7,100,100,69.0625
Princeton,80,57,381,8,2,0.7,99.8333333333333,100,69.0625
Princeton,80,57,382,8,3,0.7,99.7777777777778,100,67.96875
Princeton,80,57,383,8,4,0.7,99.6666666666667,99.9444444444444,66.875
Princeton,80,57,384,8,5,0.7,99.5555555555556,99.8888888888889,66.875
Princeton,80,57,385,8,0,0.8,100,100,77.8125
Princeton,80,57,386,8,1,0.8,100,100,76.71875
Princeton,80,57,387,8,2,0.8,100,100,75.625
Princeton,80,57,388,8,3,0.8,100,100,75.625
Princeton,80,57,389,8,4,0.8,100,100,75.625
Princeton,80,57,390,8,5,0.8,100,100,74.53125
Princeton,80,57,391,8,0,0.9,100,100,83.28125
Princeton,80,57,392,8,1,0.9,100,100,83.28125
Princeton,80,57,393,8,2,0.9,100,100,82.1875
Princeton,80,57,394,8,3,0.9,100,100,82.1875
Princeton,80,57,395,8,4,0.9,100,100,82.1875
Princeton,80,57,396,8,5,0.9,100,100,81.09375
Princeton,80,57,397,8,0,1,100,100,88.75
Princeton,80,57,398,8,1,1,100,100,88.75
Princeton,80,57,399,8,2,1,100,100,88.75
Princeton,80,57,400,8,3,1,100,100,86.5625
Princeton,80,57,401,8,4,1,100,100,86.5625
Princeton,80,57,402,8,5,1,100,100,86.5625
Princeton,80,57,403,8,0,1.1,100,100,93.125
Princeton,80,57,404,8,1,1.1,100,100,93.125
Princeton,80,57,405,8,2,1.1,100,100,93.125
Princeton,80,57,406,8,3,1.1,100,100,93.125
Princeton,80,57,407,8,4,1.1,100,100,93.125
Princeton,80,57,408,8,5,1.1,100,100,90.9375
Princeton,80,57,409,8,0,1.2,100,100,97.5
Princeton,80,57,410,8,1,1.2,100,100,97.5
Princeton,80,57,411,8,2,1.2,100,100,97.5
Princeton,80,57,412,8,3,1.2,100,100,97.5
Princeton,80,57,413,8,4,1.2,100,100,97.5
Princeton,80,57,414,8,5,1.2,100,100,96.40625
Princeton,80,57,415,8,0,1.3,100,100,101.875
Princeton,80,57,416,8,1,1.3,100,100,101.875
Princeton,80,57,417,8,2,1.3,100,100,101.875
Princeton,80,57,418,8,3,1.3,100,100,101.875
Princeton,80,57,419,8,4,1.3,100,100,101.875
Princeton,80,57,420,8,5,1.3,100,100,101.875
Princeton,80,57,421,8,0,1.4,100,100,106.25
Princeton,80,57,422,8,1,1.4,100,100,104.0625
Princeton,80,57,423,8,2,1.4,100,100,104.0625
Princeton,80,57,424,8,3,1.4,100,100,104.0625
Princeton,80,57,425,8,4,1.4,100,100,104.0625
Princeton,80,57,426,8,5,1.4,100,100,101.875
Princeton,80,57,427,8,0,1.5,100,100,106.25
Princeton,80,57,428,8,1,1.5,100,100,106.25
Princeton,80,57,429,8,2,1.5,100,100,106.25
Princeton,80,57,430,8,3,1.5,100,100,106.25
Princeton,80,57,431,8,4,1.5,100,100,106.25
Princeton,80,57,432,8,5,1.5,100,100,106.25
Princeton,80,57,433,9,0,0.7,98.0555555555556,99.0555555555556,66.875
Princeton,80,57,434,9,1,0.7,97.7222222222222,99.0555555555556,66.875
Princeton,80,57,435,9,2,0.7,97.5555555555556,98.9444444444444,64.6875
Princeton,80,57,436,9,3,0.7,97.3333333333333,98.9444444444444,64.6875
Princeton,80,57,437,9,4,0.7,97.1666666666667,98.8888888888889,64.6875
Princeton,80,57,438,9,5,0.7,97.0555555555556,98.8333333333333,62.5
Princeton,80,57,439,9,0,0.8,100,100,75.625
Princeton,80,57,440,9,1,0.8,100,100,75.625
Princeton,80,57,441,9,2,0.8,100,100,75.625
Princeton,80,57,442,9,3,0.8,99.9444444444444,99.9444444444444,75.625
Princeton,80,57,443,9,4,0.8,99.7777777777778,99.8888888888889,73.4375
Princeton,80,57,444,9,5,0.8,99.7222222222222,99.8333333333333,73.4375
Princeton,80,57,445,9,0,0.9,100,100,84.375
Princeton,80,57,446,9,1,0.9,100,100,82.1875
Princeton,80,57,447,9,2,0.9,100,100,82.1875
Princeton,80,57,448,9,3,0.9,100,100,82.1875
Princeton,80,57,449,9,4,0.9,100,100,80
Princeton,80,57,450,9,5,0.9,100,100,80
Princeton,80,57,451,9,0,1,100,100,88.75
Princeton,80,57,452,9,1,1,100,100,88.75
Princeton,80,57,453,9,2,1,100,100,88.75
Princeton,80,57,454,9,3,1,100,100,88.75
Princeton,80,57,455,9,4,1,100,100,86.5625
Princeton,80,57,456,9,5,1,100,100,86.5625
Princeton,80,57,457,9,0,1.1,100,100,95.3125
Princeton,80,57,458,9,1,1.1,100,100,95.3125
Princeton,80,57,459,9,2,1.1,100,100,95.3125
Princeton,80,57,460,9,3,1.1,100,100,93.125
Princeton,80,57,461,9,4,1.1,100,100,93.125
Princeton,80,57,462,9,5,1.1,100,100,93.125
Princeton,80,57,463,9,0,1.2,100,100,99.6875
Princeton,80,57,464,9,1,1.2,100,100,99.6875
Princeton,80,57,465,9,2,1.2,100,100,99.6875
Princeton,80,57,466,9,3,1.2,100,100,99.6875
Princeton,80,57,467,9,4,1.2,100,100,99.6875
Princeton,80,57,468,9,5,1.2,100,100,97.5
Princeton,80,57,469,9,0,1.3,100,100,106.25
Princeton,80,57,470,9,1,1.3,100,100,104.0625
Princeton,80,57,471,9,2,1.3,100,100,104.0625
Princeton,80,57,472,9,3,1.3,100,100,104.0625
Princeton,80,57,473,9,4,1.3,100,100,104.0625
Princeton,80,57,474,9,5,1.3,100,100,102.96875
Princeton,80,57,475,9,0,1.4,100,100,110.625
Princeton,80,57,476,9,1,1.4,100,100,109.53125
Princeton,80,57,477,9,2,1.4,100,100,108.4375
Princeton,80,57,478,9,3,1.4,100,100,108.4375
Princeton,80,57,479,9,4,1.4,100,100,108.4375
Princeton,80,57,480,9,5,1.4,100,100,108.4375
Princeton,80,57,481,9,0,1.5,100,100,112.8125
Princeton,80,57,482,9,1,1.5,100,100,112.8125
Princeton,80,57,483,9,2,1.5,100,100,112.8125
Princeton,80,57,484,9,3,1.5,100,100,110.625
Princeton,80,57,485,9,4,1.5,100,100,110.625
Princeton,80,57,486,9,5,1.5,100,100,110.625
